Date,Time ,Engine_Shutoff_Time,EV_switch_time,Temp,RPM,Miles_until_empty,Dew_point,Time_passed_since_shutoff ,Presence_of_the_Sun
21-04-2025,17:21,10:11,2:06,63,1700,284,54,7:10,Yes
22-04-2025,5:49,17:26,3:08,52,1600,283,50,12:23,No
22-04-2025,10:04,5:57,2:20,57,1600,280,51,4:07,Yes
22-04-2025,13:31,13:00,1:01,62,1200,264,52,0:31,Yes
22-04-2025,13:50,13:45,0:31,61,1100,261,51,0:05,Yes
23-04-2025,5:50,14:00,3:15,53,1600,260,51,15:50,No
23-04-2025,10:03,5:59,2:19,57,1600,258,51,4:04,Yes
24-04-2025,5:44,10:12,3:50,49,1600,254,46,19:32,No
24-04-2025,10:03,5:53,2:04,58,1600,250,47,4:10,Yes
24-04-2025,17:44,11:41,1:44,60,1600,373,49,6:03,Yes
26-04-2025,5:51,18:42,3:28,47,1600,334,43,11:09,No
28-04-2025,5:47,12:42,5:17,52,1600,276,46,17:05,No
28-04-2025,10:04,5:57,2:08,58,1600,273,58,4:07,Yes
29-04-2025,14:20,11:08,1:32,66,1600,251,53,3:12,Yes
05-05-2025,5:46,17:48,2:58,52,1600,216,49,11:58,No
12-05-2025,5:49,21:11,2:12,57,1600,143,49,8:38,No
12-05-2025,10:01,5:56,1:53,63,1600,140,50,4:05,Yes
13-05-2025,5:52,10:18,3:36,52,1600,134,43,19:34,No
14-05-2025,5:53,10:45,3:18,55,1600,127,44,19:08,No
14-05-2025,10:02,6:00,1:53,64,1600,121,47,4:02,Yes
15-05-2025,5:42,10:07,3:07,54,1600,191,49,19:35,No
15-05-2025,10:01,5:55,2:01,61,1600,282,52,4:06,Yes
15-05-2025,10:25,10:04,0:51,62,1400,281,52,0:21,Yes
21-05-2025,5:48,12:47,2:34,58,1600,223,51,17:01,No
22-05-2025,5:46,10:07,2:49,57,1600,220,50,19:39,No
22-05-2025,10:08,5:54,2:15,65,1600,215,55,4:14,Yes
23-05-2025,12:47,13:06,2:22,66,1600,206,55,23:41,Yes
24-05-2025,10:18,5:59,2:03,62,1600,194,52,4:19,Yes
24-05-2025,14:04,11:15,1:38,66,1600,192,54,2:49,Yes
24-05-2025,14:32,14:16,0:53,66,1300,191,53,0:16,Yes
25-05-2025,10:45,14:41,5:00,63,1600,189,55,20:04,Yes